#Types Before Cut: 11091
#Types After Cut: 9694
#Search Hits: 0
242	13	34.269	спать
243	13	34.269	твои
244	13	34.269	учились
245	28	34.263	обычно
246	20	33.587	другому
247	17	33.273	пошла
248	15	32.683	будешь
249	15	32.683	понял
250	15	32.683	поняла
251	28	32.418	таки
252	34	32.295	голос
253	24	32.261	принципе
254	18	32.094	дом
255	18	32.094	фильм
256	113	31.958	даже
257	12	31.633	берег
258	12	31.633	весело
259	12	31.633	детстве
260	12	31.633	квартиру
261	12	31.633	круто
262	12	31.633	любят
263	12	31.633	поговорить
264	12	31.633	пятьдесят
265	12	31.633	смешно
266	49	31.621	всегда
267	36	31.614	две
268	16	30.866	школа
269	16	30.866	языке
270	20	30.817	дочка
271	21	30.492	хоть
272	21	30.492	язык
273	14	30.180	домой
274	17	29.774	давайте
275	11	28.997	inan
276	11	28.997	давали
277	11	28.997	девочки
278	11	28.997	девяносто
279	11	28.997	здорово
280	11	28.997	знала
281	11	28.997	кадра
282	11	28.997	классно
283	11	28.997	кхм
284	11	28.997	понимаешь
285	11	28.997	расскажу
286	11	28.997	рассказчик
287	11	28.997	смеётся
288	11	28.997	смотри
289	11	28.997	соседка
290	11	28.997	училась
291	11	28.997	холодно
292	19	28.637	младший
293	26	28.617	самое
294	26	28.617	смысле
295	156	28.615	или
296	15	28.472	играть
297	21	28.228	жить
298	13	27.687	концерт
299	13	27.687	семья
300	13	27.687	ходить
301	13	27.687	честно
302	16	27.472	видео
303	17	26.855	моей
304	18	26.480	понимаю
305	10	26.361	бывают
306	10	26.361	вкус
307	10	26.361	восемьдесят
308	10	26.361	дед
309	10	26.361	дедушка
310	10	26.361	ехать
311	10	26.361	забыл
312	10	26.361	иии
313	10	26.361	картинка
314	10	26.361	кашель
315	10	26.361	нуу
316	10	26.361	озеро
317	10	26.361	пол
318	10	26.361	прикольно
319	10	26.361	ребята
320	10	26.361	своё
321	10	26.361	слушай
322	10	26.361	смешок
323	10	26.361	собака
324	10	26.361	ушёл
325	19	26.270	н
326	19	26.270	слово
327	22	26.250	часов
328	14	26.095	собственно
329	27	25.772	моя
330	12	25.205	вдруг
331	12	25.205	делаю
332	12	25.205	купил
333	15	25.190	ж
334	39	25.008	людей
335	16	24.653	читать
336	22	24.475	какую
337	20	24.203	друг
338	20	24.203	места
339	18	24.196	тему
340	35	24.170	четыре
341	29	23.841	старший
342	13	23.735	какими
343	13	23.735	маленький
344	13	23.735	машина
345	13	23.735	смотреть
346	9	23.725	n
347	9	23.725	ар
348	9	23.725	видишь
349	9	23.725	грустный
350	9	23.725	двенадцать
351	9	23.725	двести
352	9	23.725	женщина
353	9	23.725	кошки
354	9	23.725	папа
355	9	23.725	переехали
356	9	23.725	подожди
357	9	23.725	смесь
358	9	23.725	танцами
359	9	23.725	твой
360	9	23.725	учителя
361	9	23.725	чай
362	9	23.725	эмм
363	50	23.573	день
364	27	23.062	каждый
365	27	23.062	слова
366	14	22.930	d
367	14	22.930	вещи
368	14	22.930	мои
369	14	22.930	хотелось
